Operateur;lon;lat;2G;3G;4G
20810;-4.077751;48.039232;1;1;1
20820;-4.077754;48.03925;1;1;1
20820;-4.058572;47.911344;1;1;1
20801;-4.069545;47.994731;1;1;1
20810;-4.058364;47.911303;1;1;1
20801;-4.058284;47.911407;1;1;0
20801;-4.100109;48.229177;1;1;0
20810;-4.15713;48.65774;1;1;1
20820;-4.156947;48.657499;1;1;1
20801;-4.093631;48.20138;1;1;1
20820;-4.132789;48.501936;1;1;0
20810;-4.132789;48.501936;0;1;0
20815;-4.132777;48.501945;0;1;0
20801;-4.132767;48.501973;0;1;0
20801;-4.069256;48.040178;1;1;0
20815;-4.068895;48.040001;0;1;1
20801;-4.084043;48.16086;1;1;0
20801;-4.05868;47.983224;1;1;1
20810;-4.092281;48.264086;0;1;0
20801;-4.048812;47.984414;1;1;1
20820;-4.129155;48.583012;1;1;1
20810;-4.129155;48.583012;1;1;1
20801;-4.049219;48.005938;1;1;0
20820;-4.049024;48.005887;1;1;1
20815;-4.04901;48.005887;0;1;1
20810;-4.048957;48.005891;1;1;1
20801;-4.046331;47.998314;1;1;0
20815;-4.080271;48.256388;0;1;1
20801;-4.078501;48.253992;1;1;1
20801;-4.103713;48.44964;1;1;1
20820;-4.068783;48.209062;1;1;1
20810;-4.068783;48.209062;1;1;1
20820;-4.024556;47.890475;1;1;1
20815;-4.024453;47.890003;0;1;1
20810;-4.024021;47.890291;1;1;1
20820;-4.118055;48.600559;1;1;1
20810;-4.118055;48.600559;1;1;1
20815;-4.117688;48.600861;0;1;1
20810;-4.032233;47.982906;1;1;1
20820;-4.031813;47.983184;1;1;1
20815;-4.059996;48.212778;0;1;1
20801;-4.059987;48.212814;1;1;1
20801;-4.017225;47.892532;1;1;1
20820;-4.084261;48.399373;1;1;0
20815;-4.083894;48.399368;0;1;1
20801;-4.034047;48.02921;0;1;0
20810;-4.020454;47.941319;1;1;1
20801;-4.020352;47.941262;1;1;0
20820;-4.020318;47.941408;1;1;1
20820;-4.008418;47.86374;1;1;1
20815;-4.008418;47.86374;0;1;1
20801;-4.008397;47.863786;1;1;1
20810;-4.008191;47.863446;1;1;1
20820;-4.023948;47.98446;1;0;0
20801;-4.037565;48.090199;1;1;0
20801;-4.019108;47.980539;1;1;0
20815;-4.039991;48.15305;0;1;1
20820;-4.018509;48.009893;1;1;1
20815;-4.018534;48.010081;0;1;1
20810;-4.018473;48.009922;1;1;1
20820;-4.085095;48.51699;1;0;0
20801;-4.105772;48.669916;1;1;1
20815;-4.104632;48.670156;0;1;1
20801;-3.999173;47.884532;0;1;0
20810;-4.104475;48.67031;1;1;1
20820;-4.104443;48.670275;1;1;1
20820;-4.082168;48.517662;1;1;1
20810;-4.082168;48.517662;1;1;1
20801;-4.07933;48.502919;0;1;0
20820;-4.02494;48.098679;1;1;1
20810;-4.02494;48.098679;1;1;1
20815;-4.024454;48.09888;0;1;1
20820;-4.028328;48.153259;1;1;1
20810;-4.028328;48.153259;1;1;1
20820;-4.063187;48.424697;1;1;1
20810;-4.063187;48.424697;1;1;1
20801;-3.986908;47.860581;0;1;1
20810;-4.000348;47.98419;1;1;1
20820;-3.999331;47.983419;1;1;1
20801;-4.069227;48.507208;1;1;1
20820;-3.997535;47.971881;1;1;1
20810;-3.997395;47.971844;1;1;1
20815;-3.997244;47.971717;0;1;1
20801;-4.068987;48.524554;1;1;0
20810;-3.986824;47.910866;1;1;1
20820;-3.986757;47.91087;1;1;1
20801;-4.063011;48.492576;1;1;0
20810;-4.062622;48.492717;1;1;1
20820;-4.062517;48.492741;1;1;1
20820;-4.006395;48.087499;1;1;1
20810;-4.006395;48.087499;1;1;1
20801;-3.983412;47.93737;1;1;0
20801;-4.058183;48.514613;0;1;1
20820;-4.076419;48.655872;1;1;1
20810;-4.076419;48.655872;1;1;1
20801;-3.990881;48.024651;1;1;0
